key,value,description
comparison.deeplog.hdfs.f1,0.7734,DeepLog HDFS F1 from LogBERT Table 2
comparison.deeplog.bgl.precision,0.8974,DeepLog BGL Precision from LogBERT Table 2
comparison.deeplog.bgl.recall,0.8278,DeepLog BGL Recall from LogBERT Table 2
comparison.deeplog.bgl.f1,0.8612,DeepLog BGL F1 from LogBERT Table 2
comparison.loganomaly.hdfs.precision,0.9415,LogAnomaly HDFS Precision from LogBERT Table 2
comparison.loganomaly.hdfs.recall,0.4047,LogAnomaly HDFS Recall from LogBERT Table 2
comparison.loganomaly.hdfs.f1,0.5619,LogAnomaly HDFS F1 from LogBERT Table 2
comparison.loganomaly.bgl.precision,0.7312,LogAnomaly BGL Precision from LogBERT Table 2
comparison.loganomaly.bgl.recall,0.7609,LogAnomaly BGL Recall from LogBERT Table 2
comparison.loganomaly.bgl.f1,0.7408,LogAnomaly BGL F1 from LogBERT Table 2
comparison.logbert.hdfs.precision,0.8702,LogBERT HDFS Precision from LogBERT Table 2
comparison.logbert.hdfs.recall,0.7810,LogBERT HDFS Recall from LogBERT Table 2
comparison.logbert.hdfs.f1,0.8232,LogBERT HDFS F1 from LogBERT Table 2
comparison.logbert.bgl.precision,0.8940,LogBERT BGL Precision from LogBERT Table 2
comparison.logbert.bgl.recall,0.9232,LogBERT BGL Recall from LogBERT Table 2
comparison.logbert.bgl.f1,0.9083,LogBERT BGL F1 from LogBERT Table 2
comparison.logrobust.hdfs.f1,0.9800,LogRobust HDFS F1 reported by LogLLM
comparison.logrobust.bgl.f1,0.8100,LogRobust BGL F1 reported by LogLLM
comparison.cnn.hdfs.f1,0.9820,CNN HDFS F1 reported by LogLLM
comparison.cnn.bgl.f1,0.8100,CNN BGL F1 reported by LogLLM
comparison.neurallog.hdfs.f1,0.9790,NeuralLog HDFS F1 reported by LogLLM
comparison.neurallog.bgl.f1,0.8350,NeuralLog BGL F1 reported by LogLLM
comparison.logllm.hdfs.f1,0.9970,LogLLM HDFS F1
comparison.logllm.bgl.f1,0.9160,LogLLM BGL F1
comparison.cldtlog.hdfs.f1,0.9971,CLDTLog HDFS F1
comparison.cldtlog.bgl.f1,0.9999,CLDTLog BGL F1
comparison.liquid.hdfs.precision,0.990,Liquid model HDFS Precision
comparison.liquid.hdfs.recall,0.988,Liquid model HDFS Recall
comparison.liquid.hdfs.f1,0.989,Liquid model HDFS F1
sequence_effect.length_ten.accuracy,0.982,BGL validation Accuracy at sequence length 10
sequence_effect.length_ten.length,10,BGL validation sequence length candidate
sequence_effect.length_ten.precision,0.865,BGL validation Precision at sequence length 10
sequence_effect.length_ten.recall,0.852,BGL validation Recall at sequence length 10
sequence_effect.length_ten.f1,0.858,BGL validation F1 at sequence length 10
sequence_effect.length_twenty.accuracy,0.991,BGL validation Accuracy at sequence length 20
sequence_effect.length_twenty.length,20,BGL validation sequence length candidate
sequence_effect.length_twenty.precision,0.938,BGL validation Precision at sequence length 20
sequence_effect.length_twenty.recall,0.936,BGL validation Recall at sequence length 20
sequence_effect.length_twenty.f1,0.937,BGL validation F1 at sequence length 20
sequence_effect.length_thirty.accuracy,0.989,BGL validation Accuracy at sequence length 30
sequence_effect.length_thirty.length,30,BGL validation sequence length candidate
sequence_effect.length_thirty.precision,0.929,BGL validation Precision at sequence length 30
sequence_effect.length_thirty.recall,0.933,BGL validation Recall at sequence length 30
sequence_effect.length_thirty.f1,0.931,BGL validation F1 at sequence length 30
threshold_effect.point_five.threshold,0.500,BGL validation anomaly threshold
threshold_effect.point_five.accuracy,0.957,BGL validation Accuracy at threshold 0.500
threshold_effect.point_five.precision,0.698,BGL validation Precision at threshold 0.500
threshold_effect.point_five.recall,0.982,BGL validation Recall at threshold 0.500
threshold_effect.point_five.f1,0.816,BGL validation F1 at threshold 0.500
threshold_effect.point_seven.threshold,0.700,BGL validation anomaly threshold
threshold_effect.point_seven.accuracy,0.982,BGL validation Accuracy at threshold 0.700
threshold_effect.point_seven.precision,0.861,BGL validation Precision at threshold 0.700
threshold_effect.point_seven.recall,0.958,BGL validation Recall at threshold 0.700
threshold_effect.point_seven.f1,0.907,BGL validation F1 at threshold 0.700
threshold_effect.point_eight_three_five.threshold,0.835,BGL validation anomaly threshold
threshold_effect.point_eight_three_five.accuracy,0.991,BGL validation Accuracy at threshold 0.835
threshold_effect.point_eight_three_five.precision,0.938,BGL validation Precision at threshold 0.835
threshold_effect.point_eight_three_five.recall,0.936,BGL validation Recall at threshold 0.835
threshold_effect.point_eight_three_five.f1,0.937,BGL validation F1 at threshold 0.835
threshold_effect.point_nine.threshold,0.900,BGL validation anomaly threshold
threshold_effect.point_nine.accuracy,0.987,BGL validation Accuracy at threshold 0.900
threshold_effect.point_nine.precision,0.956,BGL validation Precision at threshold 0.900
threshold_effect.point_nine.recall,0.887,BGL validation Recall at threshold 0.900
threshold_effect.point_nine.f1,0.920,BGL validation F1 at threshold 0.900
